state,year,population,property_rates_all,rates_burglary,rates_larceny,rates_motor,violent_rates_all,rates_assault,rates_murder,rates_rape,rates_robbery,property_total_all,total_burglary,total_larceny,total_motor,violent_total_all,total_assault,total_murder,total_rape,total_robbery
Alaska,1960,226167,1544.9,332.1,970.5,242.3,104.3,45.1,10.2,20.8,28.3,3494,751,2195,548,236,102,23,47,64
Alaska,1961,234000,1540.6,380.8,950.0,209.8,88.9,51.7,11.5,13.2,12.4,3605,891,2223,491,208,121,27,31,29
Alaska,1962,246000,1564.6,351.6,985.4,227.6,91.5,54.5,4.5,18.7,13.8,3849,865,2424,560,225,134,11,46,34
Alaska,1963,248000,1952.8,381.5,1213.7,357.7,109.7,66.1,6.5,14.9,22.2,4843,946,3010,887,272,164,16,37,55
Alaska,1964,250000,2016.0,443.6,1218.4,354.0,150.0,96.0,10.4,22.4,21.2,5040,1109,3046,885,375,240,26,56,53
Alaska,1965,253000,2454.5,554.5,1492.9,407.1,149.0,85.0,6.3,17.8,39.9,6210,1403,3777,1030,377,215,16,45,101
Alaska,1966,272000,2635.3,593.0,1600.7,441.5,150.4,82.0,12.9,19.5,36.0,7168,1613,4354,1201,409,223,35,53,98
Alaska,1967,272000,2723.9,688.6,1630.9,404.4,160.7,98.2,9.6,17.6,35.3,7409,1873,4436,1100,437,267,26,48,96
Alaska,1968,277000,3145.5,747.3,1915.9,482.3,175.5,90.6,10.5,21.7,52.7,8713,2070,5307,1336,486,251,29,60,146
Alaska,1969,282000,3658.9,870.6,2196.8,591.5,221.3,113.8,10.6,29.4,67.4,10318,2455,6195,1668,624,321,30,83,190
Alaska,1970,302173,3523.8,789.9,2182.5,551.3,278.0,167.8,12.2,26.1,71.8,10648,2387,6595,1666,840,507,37,79,217
Alaska,1971,313000,3809.3,848.6,2438.0,522.7,355.3,231.3,13.4,43.5,67.1,11923,2656,7631,1636,1112,724,42,136,210
Alaska,1972,325000,4108.0,970.8,2639.1,498.2,370.5,252.6,9.5,41.8,66.5,13351,3155,8577,1619,1204,821,31,136,216
Alaska,1973,330000,4558.8,1167.3,2865.5,526.1,384.5,263.0,10.0,44.5,67.0,15044,3852,9456,1736,1269,868,33,147,221
Alaska,1974,337000,4786.6,1166.8,2972.1,647.8,453.1,301.8,13.6,49.3,88.4,16131,3932,10016,2183,1527,1017,46,166,298
Alaska,1975,352000,5656.8,1214.5,3522.4,919.9,539.8,353.4,12.2,44.6,129.5,19912,4275,12399,3238,1900,1244,43,157,456
Alaska,1976,382000,5680.6,1218.1,3656.8,805.8,540.1,357.1,11.3,46.9,124.9,21700,4653,13969,3078,2063,1364,43,179,477
Alaska,1977,407000,5454.8,1331.7,3369.8,753.3,443.2,284.0,10.8,51.6,96.8,22201,5420,13715,3066,1804,1156,44,210,394
Alaska,1978,403000,5604.2,1339.2,3603.5,661.5,441.9,282.1,12.9,55.6,91.3,22585,5397,14522,2666,1781,1137,52,224,368
Alaska,1979,406000,5712.6,1383.3,3713.3,616.0,491.1,296.3,13.3,71.9,109.6,23193,5616,15076,2501,1994,1203,54,292,445
Alaska,1980,440142,5209.7,1259.8,3388.9,561.0,436.0,288.5,8.9,56.8,81.8,22930,5545,14916,2469,1919,1270,39,250,360
Alaska,1981,412000,5979.1,1329.9,3958.7,690.5,615.8,384.5,14.6,102.2,114.6,24634,5479,16310,2845,2537,1584,60,421,472
Alaska,1982,438000,5588.8,1188.1,3806.4,594.3,623.7,386.1,18.5,85.4,133.8,24479,5204,16672,2603,2732,1691,81,374,586
Alaska,1983,479000,5404.8,1194.2,3566.8,643.8,613.8,401.5,13.8,101.5,97.1,25889,5720,17085,3084,2940,1923,66,486,465
Alaska,1984,500000,5493.6,1236.8,3628.0,628.8,621.6,409.0,11.6,91.6,109.4,27468,6184,18140,3144,3108,2045,58,458,547
Alaska,1985,521000,5295.2,1191.7,3497.1,606.3,581.8,401.9,9.8,77.2,92.9,27588,6209,18220,3159,3031,2094,51,402,484
Alaska,1986,534000,5675.5,1161.8,3909.9,603.7,570.4,401.1,8.6,72.7,88.0,30307,6204,20879,3224,3046,2142,46,388,470
Alaska,1987,525000,4922.1,970.1,3465.7,486.3,455.4,307.2,10.1,65.0,73.1,25841,5093,18195,2553,2391,1613,53,341,384
Alaska,1988,513000,4398.8,842.3,3101.6,455.0,522.8,386.5,5.7,57.7,72.9,22566,4321,15911,2334,2682,1983,29,296,374
Alaska,1989,527000,4282.2,826.9,3000.2,455.0,497.7,369.3,8.0,52.9,67.6,22567,4358,15811,2398,2623,1946,42,279,356
Alaska,1990,550043,4628.2,894.3,3168.5,565.4,524.5,367.4,7.5,72.9,76.7,25457,4919,17428,3110,2885,2021,41,401,422
Alaska,1991,570000,5087.7,979.3,3574.6,533.9,613.9,401.6,7.4,91.8,113.2,29000,5582,20375,3043,3499,2289,42,523,645
Alaska,1992,587000,4909.0,880.7,3531.2,497.1,660.5,445.3,7.5,98.6,109.0,28816,5170,20728,2918,3877,2614,44,579,640
Alaska,1993,599000,4807.2,816.9,3539.4,450.9,760.8,545.6,9.0,83.8,122.4,28795,4893,21201,2701,4557,3268,54,502,733
Alaska,1994,606000,4941.7,800.0,3601.3,540.4,766.3,544.9,6.3,69.0,146.2,29947,4848,21824,3275,4644,3302,38,418,886
Alaska,1995,604000,4982.9,836.9,3624.3,521.7,770.9,526.3,9.1,80.3,155.1,30097,5055,21891,3151,4656,3179,55,485,937
Alaska,1996,607000,4722.7,843.2,3386.7,492.9,727.7,537.7,7.4,65.6,117.0,28667,5118,20557,2992,4417,3264,45,398,710
Alaska,1997,609000,4571.4,702.1,3412.2,457.1,701.1,519.7,8.9,66.2,106.4,27840,4276,20780,2784,4270,3165,54,403,648
Alaska,1998,614000,4123.1,667.4,3031.1,424.6,653.9,492.0,6.7,68.6,86.6,25316,4098,18611,2607,4015,3021,41,421,532
Alaska,1999,619500,3728.7,611.3,2688.3,429.1,630.8,447.6,8.4,83.5,91.4,23099,3787,16654,2658,3908,2773,52,517,566
Alaska,2000,626932,3682.5,621.9,2685.8,374.8,566.9,405.1,4.3,79.3,78.2,23087,3899,16838,2350,3554,2540,27,497,490
Alaska,2001,633630,3655.1,607.1,2634.8,413.2,589.5,423.1,6.2,79.1,81.1,23160,3847,16695,2618,3735,2681,39,501,514
Alaska,2002,641482,3759.7,609.2,2765.3,385.2,565.4,404.4,5.1,79.7,76.2,24118,3908,17739,2471,3627,2594,33,511,489
